603166,12.23,231,1.11,9.98,0.05
603128,14.45,125881,0.11,0.77,7.87
603126,16.60,63033,-0.32,-1.89,7.88
603123,10.88,32829,-0.13,-1.18,2.92
603111,24.42,35273,-0.08,-0.33,4.88
603100,17.86,100405,-0.45,-2.46,10.04
603099,17.08,58543,-0.44,-2.51,8.78
603088,52.86,100853,1.30,2.52,50.43
603077,11.60,64055,-0.10,-0.85,2.14
603019,46.63,1913,4.24,10.00,0.26
603018,73.24,20446,-0.77,-1.04,7.86
603011,34.12,2081,3.10,9.99,0.46
603010,30.70,21602,-0.68,-2.17,8.64
603009,26.89,14769,-0.42,-1.54,5.54
603008,0.00,0,0.00,0.00,0.00
603006,39.16,12945,-0.13,-0.33,6.47
603005,47.90,10859,-0.55,-1.14,1.92
603003,16.83,35660,-0.46,-2.66,5.63
603002,8.52,67439,-0.05,-0.58,3.55
603001,17.33,30680,-0.23,-1.31,2.62
603000,44.70,73702,1.52,3.52,3.30
601999,13.36,198867,0.64,5.03,3.61
601998,6.67,2292669,0.00,0.00,0.72
601996,9.30,153852,0.02,0.22,3.28
601992,9.80,542791,0.41,4.37,1.74
601991,4.78,494824,0.14,3.02,0.50
601989,6.41,2907883,0.08,1.26,1.78
601988,3.50,10631762,-0.06,-1.69,0.54
601969,0.00,0,0.00,0.00,
601965,12.99,40763,0.06,0.46,2.12
601958,10.28,473036,0.62,6.42,1.47
601939,5.07,2936807,0.00,0.00,3.06
601933,7.86,266944,0.03,0.38,0.87
601929,11.77,163406,0.29,2.53,2.49
601928,0.00,0,0.00,0.00,0.00
601919,5.52,783295,0.03,0.55,1.03
601918,5.79,578273,0.13,2.30,2.23
601908,12.89,252684,-0.28,-2.13,8.88
601901,11.83,4647120,0.95,8.73,7.62
601899,3.07,5418676,0.21,7.34,3.43
601898,6.01,1314031,0.31,5.44,1.44
601890,10.51,46166,-0.03,-0.28,0.99
601888,41.35,46022,-0.34,-0.82,0.47
601886,8.44,217479,0.18,2.18,2.40
601880,4.57,550032,0.00,0.00,1.64
601877,29.05,27640,-0.02,-0.07,0.27
601872,4.47,384891,-0.07,-1.54,1.02
601866,3.61,1052934,0.01,0.28,1.33
601857,8.42,1649780,0.05,0.60,0.10
601818,4.13,8550937,-0.07,-1.67,2.15
601808,18.19,386857,0.39,2.19,1.31
601801,16.79,69269,0.50,3.07,0.76
601800,7.32,1139813,0.01,0.14,8.44
601799,21.29,12496,0.05,0.24,0.52
601798,13.38,34402,0.14,1.06,0.97
601789,9.31,103559,0.05,0.54,2.48
601788,23.55,1303342,2.14,10.00,3.81
601777,10.23,146800,-0.18,-1.73,1.51
601766,0.00,0,0.00,0.00,0.00
601727,6.45,447178,0.07,1.10,0.45
601718,5.02,676925,0.04,0.80,1.76
601717,7.84,335257,0.11,1.42,2.43
601700,15.78,69744,-0.29,-1.80,2.96
601699,11.20,554392,0.40,3.70,2.41
601688,21.75,2265943,1.36,6.67,4.05
601678,9.81,133384,0.17,1.76,2.02
601677,13.75,102633,0.51,3.85,3.96
601669,4.33,2166472,0.06,1.41,6.57
601668,4.54,7019758,0.12,2.71,2.35
601666,5.48,642691,0.16,3.01,2.72
601636,8.32,61674,0.01,0.12,1.11
601633,37.67,51722,-0.24,-0.63,0.26
601628,23.65,821620,0.08,0.34,0.39
601618,3.08,2938681,0.11,3.70,1.81
601616,5.21,149086,0.09,1.76,1.60
601608,6.15,1409516,0.41,7.14,18.73
601607,15.82,350320,0.26,1.67,1.82
601601,25.15,730643,0.26,1.04,1.16
601600,4.72,2151204,0.24,5.36,2.25
601599,0.00,0,0.00,0.00,0.00
601588,3.90,707840,0.12,3.17,2.66
601579,14.10,81780,-0.20,-1.40,8.18
601567,18.18,17878,-0.25,-1.36,0.52
601566,13.34,48045,-0.04,-0.30,0.84
601558,0.00,0,0.00,0.00,0.00
601555,18.73,1149318,0.91,5.11,9.41
601519,0.00,0,0.00,0.00,0.00
601518,3.34,168854,0.02,0.60,1.39
601515,12.30,88531,-0.11,-0.89,5.23
601398,4.16,3731918,-0.02,-0.48,0.14
601390,5.06,2433178,0.04,0.80,1.42
601388,11.59,341381,0.68,6.23,15.34
601377,13.13,3527164,0.89,7.27,7.11
601369,7.68,155249,0.01,0.13,0.95
601339,11.27,42537,0.00,0.00,2.22
601336,42.49,561993,-0.51,-1.19,5.11
601333,3.66,1054553,0.07,1.95,1.87
601328,5.99,5700472,0.03,0.50,1.74
601318,55.85,1448857,1.56,2.87,3.03
601313,10.77,60664,-0.33,-2.97,2.26
601311,14.22,110954,-0.28,-1.93,1.92
601299,0.00,0,0.00,0.00,0.00
601288,2.97,7616133,0.01,0.34,0.27
601268,0.00,0,0.00,0.00,0.00
601258,6.32,249109,0.01,0.16,0.95
601238,8.50,181780,0.16,1.92,3.01
601233,8.11,199080,0.22,2.79,2.08
601231,32.92,38991,1.28,4.05,3.65
601226,0.00,0,0.00,0.00,
601225,7.36,836914,0.31,4.40,16.74
601222,24.62,33175,-0.46,-1.83,0.94
601218,7.67,200888,-0.10,-1.29,2.03
601216,0.00,0,0.00,0.00,0.00
601208,9.50,83513,-0.23,-2.36,1.48
601199,20.72,111868,1.05,5.34,4.78
601188,3.79,129467,0.00,0.00,1.07
601186,8.90,1561122,0.14,1.60,1.52
601179,5.66,545411,0.12,2.17,1.25
601177,8.95,47234,0.09,1.02,1.18
601169,9.30,1406674,-0.05,-0.53,1.57
601168,8.21,1293597,0.63,8.31,5.43
601166,12.63,4414108,0.04,0.32,2.73
601158,7.66,615965,0.11,1.46,1.28
601139,8.35,108541,0.12,1.46,0.57
601137,22.47,44074,0.59,2.70,2.05
601126,18.22,30785,-0.03,-0.16,0.76
601118,9.46,1706675,0.19,2.05,4.34
601117,7.31,1198416,0.17,2.38,2.43
601116,9.40,44006,0.07,0.75,1.09
601113,6.13,37139,-0.05,-0.81,0.58
601111,6.22,1066391,-0.10,-1.58,1.28
601107,3.94,202645,-0.01,-0.25,0.94
601106,4.94,1954997,0.18,3.78,2.99
601101,7.91,279423,0.23,2.99,2.33
601100,11.79,25355,-0.14,-1.17,1.03
601099,10.88,2225194,0.65,6.35,8.97
601098,15.53,170756,0.28,1.84,0.95
601088,17.28,869892,0.48,2.86,0.53
601058,17.85,29136,-0.46,-2.51,0.77
601038,11.05,208944,-0.24,-2.13,13.93
601028,22.04,113917,-0.06,-0.27,6.10
601018,4.02,1308469,0.02,0.50,1.02
601016,13.02,223911,-0.42,-3.12,12.59
601015,21.66,416103,-0.88,-3.90,34.68
601012,16.95,94590,-0.33,-1.91,3.04
601011,12.57,71080,0.17,1.37,1.84
601010,8.73,63196,0.01,0.11,0.85
601009,13.26,1143738,-0.13,-0.97,3.85
601008,7.07,265628,0.04,0.57,3.27
601007,11.86,25633,0.01,0.08,0.85
601006,9.65,845561,-0.03,-0.31,0.57
601005,3.37,292048,0.11,3.37,2.44
601003,3.61,315879,0.09,2.56,1.23
601002,19.02,375707,0.04,0.21,5.09
601001,9.18,533757,0.26,2.91,3.19
601000,8.74,953699,0.12,1.39,4.70
600999,22.00,1229278,1.18,5.67,2.64
600998,16.78,100475,-0.28,-1.64,0.73
600997,6.73,255224,0.23,3.54,2.07
600995,7.44,94175,0.00,0.00,1.97
600993,22.15,41666,-0.29,-1.29,1.26
600992,10.96,39719,-0.20,-1.79,2.42
600990,46.03,29749,-1.55,-3.26,2.18
600988,11.42,250850,0.61,5.64,8.93
600987,9.83,274270,-0.55,-5.30,4.32
600986,0.00,0,0.00,0.00,0.00
600985,17.28,9762,0.17,0.99,0.75
600984,0.00,0,0.00,0.00,0.00
600983,12.93,37898,-0.09,-0.69,0.71
600982,7.19,82465,0.04,0.56,1.96
600981,0.00,0,0.00,0.00,0.00
600980,18.15,51171,0.78,4.49,3.94
600979,6.87,66021,-0.07,-1.01,0.92
600978,5.77,297456,0.08,1.41,2.01
600976,29.41,11189,0.07,0.24,0.73
600975,10.50,53016,0.09,0.86,2.26
600973,11.11,35922,0.07,0.63,0.87
600971,7.86,268876,0.31,4.11,2.69
600970,10.57,289352,0.28,2.72,2.65
600969,15.57,14846,-0.09,-0.57,0.71
600967,14.39,170232,-0.05,-0.35,2.20
600966,6.60,107024,-0.05,-0.75,1.76
600965,10.22,63365,0.04,0.39,1.74
600963,5.39,158821,-0.08,-1.46,1.88
600962,14.60,51790,-0.70,-4.58,2.04
600961,10.15,105199,0.48,4.96,1.99
600960,12.25,18274,0.07,0.57,0.86
600917,12.46,168931,-0.38,-2.96,10.83
600900,9.05,453555,0.06,0.67,0.47
600898,9.79,38570,-0.03,-0.31,1.53
600897,20.88,52485,-0.34,-1.60,1.76
600896,5.48,151610,-0.09,-1.62,2.61
600895,11.13,367649,0.19,1.74,2.37
600894,14.48,38111,0.08,0.56,0.49
600893,27.58,105039,0.03,0.11,0.97
600892,0.00,0,0.00,0.00,0.00
600891,7.43,53852,0.03,0.41,1.66
600890,7.80,46070,0.01,0.13,0.80
600889,8.82,127876,-0.38,-4.13,4.16
600888,7.90,216291,0.49,6.61,3.37
600887,26.06,785931,0.26,1.01,2.61
600886,7.61,764910,0.23,3.12,1.13
600885,21.78,24543,-0.06,-0.27,1.03
600884,18.30,111955,0.14,0.77,2.72
600883,10.18,27137,-0.29,-2.77,1.15
600882,8.81,124135,0.23,2.68,4.40
600881,7.19,570744,0.22,3.16,3.01
600880,12.15,396839,0.44,3.76,5.41
600879,14.14,263713,0.01,0.07,2.54
600877,7.85,180099,-0.10,-1.26,2.62
600876,0.00,0,0.00,0.00,0.00
600875,17.22,280967,0.35,2.07,1.69
600874,9.53,347107,-0.07,-0.73,3.19
600873,6.49,329711,-0.12,-1.82,1.06
600872,10.98,124222,0.05,0.46,1.56
600871,0.00,0,0.00,0.00,0.00
600870,8.34,99801,-0.44,-5.01,2.69
600869,10.16,72271,-0.12,-1.17,0.73
600868,3.50,648467,0.08,2.34,3.42
600867,18.93,318396,-2.10,-9.99,3.11
600866,8.02,96645,-0.11,-1.35,1.76
600865,8.14,52684,-0.12,-1.45,1.40
600864,11.15,296799,0.05,0.45,5.43
600863,3.42,1254824,0.07,2.09,4.75
600862,11.00,163091,-0.13,-1.17,2.56
600861,10.67,35106,0.07,0.66,1.11
600860,7.17,22032,-0.07,-0.97,0.68
