000657,000657.sz,中钨高新
000659,000659.sz,*ST中富
000661,000661.sz,长春高新
000662,000662.sz,索芙特
000665,000665.sz,湖北广电
000666,000666.sz,经纬纺机
000667,000667.sz,美好集团
000668,000668.sz,荣丰控股
000669,000669.sz,金鸿能源
000670,000670.sz,盈方微
000671,000671.sz,阳 光 城
000672,000672.sz,上峰水泥
000673,000673.sz,当代东方
000678,000678.sz,襄阳轴承
000679,000679.sz,大连友谊
000680,000680.sz,山推股份
000681,000681.sz,视觉中国
000682,000682.sz,东方电子
000683,000683.sz,远兴能源
000685,000685.sz,中山公用
000686,000686.sz,东北证券
000688,000688.sz,建新矿业
000690,000690.sz,宝新能源
000691,000691.sz,亚太实业
000695,000695.sz,滨海能源
000697,000697.sz,炼石有色
000698,000698.sz,沈阳化工
000700,000700.sz,模塑科技
000701,000701.sz,厦门信达
000702,000702.sz,正虹科技
000703,000703.sz,恒逸石化
000705,000705.sz,浙江震元
000707,000707.sz,双环科技
000708,000708.sz,大冶特钢
000709,000709.sz,河北钢铁
000710,000710.sz,天兴仪表
000711,000711.sz,*ST京蓝
000712,000712.sz,锦龙股份
000713,000713.sz,丰乐种业
000716,000716.sz,黑芝麻
000717,000717.sz,韶钢松山
000718,000718.sz,苏宁环球
000720,000720.sz,新能泰山
000722,000722.sz,湖南发展
000723,000723.sz,美锦能源
000725,000725.sz,京东方Ａ
000726,000726.sz,鲁  泰Ａ
000727,000727.sz,华东科技
000728,000728.sz,国元证券
000729,000729.sz,燕京啤酒
000731,000731.sz,四川美丰
000732,000732.sz,泰禾集团
000733,000733.sz,振华科技
000735,000735.sz,罗 牛 山
000736,000736.sz,中房地产
000737,000737.sz,南风化工
000738,000738.sz,中航动控
000739,000739.sz,普洛药业
000748,000748.sz,长城信息
000750,000750.sz,国海证券
000751,000751.sz,锌业股份
000752,000752.sz,西藏发展
000753,000753.sz,漳州发展
000756,000756.sz,新华制药
000757,000757.sz,浩物股份
000758,000758.sz,中色股份
000759,000759.sz,中百集团
000760,000760.sz,斯太尔
000761,000761.sz,本钢板材
000762,000762.sz,西藏矿业
000767,000767.sz,漳泽电力
000768,000768.sz,中航飞机
000776,000776.sz,广发证券
000777,000777.sz,中核科技
000778,000778.sz,新兴铸管
000779,000779.sz,*ST派神
000780,000780.sz,平庄能源
000782,000782.sz,美达股份
000783,000783.sz,长江证券
000785,000785.sz,武汉中商
000786,000786.sz,北新建材
000788,000788.sz,北大医药
000789,000789.sz,万年青
000790,000790.sz,华神集团
000791,000791.sz,甘肃电投
000792,000792.sz,盐湖股份
000793,000793.sz,华闻传媒
000795,000795.sz,太原刚玉
000797,000797.sz,中国武夷
000798,000798.sz,中水渔业
000799,000799.sz,酒 鬼 酒
000800,000800.sz,一汽轿车
000801,000801.sz,四川九洲
000802,000802.sz,北京文化
000803,000803.sz,金宇车城
000806,000806.sz,银河投资
000807,000807.sz,云铝股份
000809,000809.sz,铁岭新城
000810,000810.sz,创维数字
000811,000811.sz,烟台冰轮
000812,000812.sz,陕西金叶
000813,000813.sz,天山纺织
000815,000815.sz,美利纸业
000816,000816.sz,江淮动力
000818,000818.sz,方大化工
000819,000819.sz,岳阳兴长
000820,000820.sz,金城股份
000821,000821.sz,京山轻机
000822,000822.sz,山东海化
000823,000823.sz,超声电子
000825,000825.sz,太钢不锈
000829,000829.sz,天音控股
000830,000830.sz,鲁西化工
000831,000831.sz,五矿稀土
000833,000833.sz,贵糖股份
000835,000835.sz,长城动漫
000836,000836.sz,鑫茂科技
000837,000837.sz,秦川机床
000838,000838.sz,国兴地产
000839,000839.sz,中信国安
000848,000848.sz,承德露露
000850,000850.sz,华茂股份
000851,000851.sz,高鸿股份
000852,000852.sz,江钻股份
000856,000856.sz,冀东装备
000858,000858.sz,五 粮 液
000859,000859.sz,国风塑业
000861,000861.sz,海印股份
000862,000862.sz,银星能源
000868,000868.sz,安凯客车
000869,000869.sz,张  裕Ａ
000875,000875.sz,吉电股份
000876,000876.sz,新 希 望
000877,000877.sz,天山股份
000878,000878.sz,云南铜业
000880,000880.sz,潍柴重机
000881,000881.sz,大连国际
000882,000882.sz,华联股份
000885,000885.sz,同力水泥
000886,000886.sz,海南高速
000888,000888.sz,峨眉山Ａ
000890,000890.sz,法 尔 胜
000892,000892.sz,星美联合
000893,000893.sz,东凌粮油
000895,000895.sz,双汇发展
000897,000897.sz,津滨发展
000898,000898.sz,鞍钢股份
000900,000900.sz,现代投资
000901,000901.sz,航天科技
000902,000902.sz,新洋丰
000903,000903.sz,云内动力
000905,000905.sz,厦门港务
000906,000906.sz,物产中拓
000908,000908.sz,天一科技
000909,000909.sz,数源科技
000910,000910.sz,大亚科技
000911,000911.sz,南宁糖业
000913,000913.sz,钱江摩托
000915,000915.sz,山大华特
000916,000916.sz,华北高速
000917,000917.sz,电广传媒
000918,000918.sz,嘉凯城
000919,000919.sz,金陵药业
000920,000920.sz,南方汇通
000921,000921.sz,海信科龙
000922,000922.sz,佳电股份
000923,000923.sz,河北宣工
000925,000925.sz,众合科技
000926,000926.sz,福星股份
000927,000927.sz,一汽夏利
000928,000928.sz,中钢国际
000929,000929.sz,兰州黄河
000930,000930.sz,中粮生化
000932,000932.sz,华菱钢铁
000933,000933.sz,神火股份
000935,000935.sz,四川双马
000936,000936.sz,华西股份
000937,000937.sz,冀中能源
000939,000939.sz,凯迪电力
000948,000948.sz,南天信息
000949,000949.sz,新乡化纤
000950,000950.sz,建峰化工
000951,000951.sz,中国重汽
000952,000952.sz,广济药业
000953,000953.sz,河池化工
000955,000955.sz,欣龙控股
000957,000957.sz,中通客车
000958,000958.sz,东方能源
000959,000959.sz,首钢股份
000960,000960.sz,锡业股份
000961,000961.sz,中南建设
000962,000962.sz,东方钽业
000963,000963.sz,华东医药
000965,000965.sz,天保基建
000966,000966.sz,长源电力
000970,000970.sz,中科三环
000972,000972.sz,新中基
000973,000973.sz,佛塑科技
000975,000975.sz,银泰资源
000976,000976.sz,*ST春晖
000977,000977.sz,浪潮信息
000979,000979.sz,中弘股份
000980,000980.sz,金马股份
000981,000981.sz,银亿股份
000983,000983.sz,西山煤电
000985,000985.sz,大庆华科
000987,000987.sz,广州友谊
000988,000988.sz,华工科技
000993,000993.sz,闽东电力
000997,000997.sz,新 大 陆
000998,000998.sz,隆平高科
000999,000999.sz,华润三九
002001,002001.sz,新 和 成
002002,002002.sz,鸿达兴业
002003,002003.sz,伟星股份
002004,002004.sz,华邦颖泰
002005,002005.sz,德豪润达
002007,002007.sz,华兰生物
002008,002008.sz,大族激光
002009,002009.sz,天奇股份
002011,002011.sz,盾安环境
002012,002012.sz,凯恩股份
002013,002013.sz,中航机电
002014,002014.sz,永新股份
002016,002016.sz,世荣兆业
002017,002017.sz,东信和平
002018,002018.sz,华信国际
002019,002019.sz,亿帆鑫富
002020,002020.sz,京新药业
002022,002022.sz,科华生物
002023,002023.sz,海特高新
002024,002024.sz,苏宁云商
002025,002025.sz,航天电器
002026,002026.sz,山东威达
002027,002027.sz,七喜控股
002028,002028.sz,思源电气
002029,002029.sz,七 匹 狼
002030,002030.sz,达安基因
002031,002031.sz,巨轮股份
002032,002032.sz,苏 泊 尔
002033,002033.sz,丽江旅游
002035,002035.sz,华帝股份
002038,002038.sz,双鹭药业
002039,002039.sz,黔源电力
002040,002040.sz,南 京 港
002041,002041.sz,登海种业
002042,002042.sz,华孚色纺
002043,002043.sz,兔 宝 宝
002045,002045.sz,国光电器
002046,002046.sz,轴研科技
002047,002047.sz,宝鹰股份
002048,002048.sz,宁波华翔
002049,002049.sz,同方国芯
002050,002050.sz,三花股份
002051,002051.sz,中工国际
002052,002052.sz,同洲电子
002053,002053.sz,云南盐化
002054,002054.sz,德美化工
002055,002055.sz,得润电子
002056,002056.sz,横店东磁
002058,002058.sz,威 尔 泰
002059,002059.sz,云南旅游
002060,002060.sz,粤 水 电
002061,002061.sz,江山化工
002062,002062.sz,宏润建设
002063,002063.sz,远光软件
002064,002064.sz,华峰氨纶
002065,002065.sz,东华软件
002066,002066.sz,瑞泰科技
002067,002067.sz,景兴纸业
002068,002068.sz,黑猫股份
002069,002069.sz,獐 子 岛
002070,002070.sz,众和股份
002071,002071.sz,长城影视
002072,002072.sz,凯瑞德
002073,002073.sz,软控股份
002074,002074.sz,东源电器
002075,002075.sz,沙钢股份
002076,002076.sz,雪 莱 特
002077,002077.sz,大港股份
002078,002078.sz,太阳纸业
002079,002079.sz,苏州固锝
002080,002080.sz,中材科技
002081,002081.sz,金 螳 螂
002082,002082.sz,栋梁新材
002083,002083.sz,孚日股份
002084,002084.sz,海鸥卫浴
002085,002085.sz,万丰奥威
002087,002087.sz,新野纺织
002088,002088.sz,鲁阳股份
002090,002090.sz,金智科技
002091,002091.sz,江苏国泰
002092,002092.sz,中泰化学
002093,002093.sz,国脉科技
002094,002094.sz,青岛金王
002095,002095.sz,生 意 宝
002096,002096.sz,南岭民爆
002097,002097.sz,山河智能
002098,002098.sz,浔兴股份
002099,002099.sz,海翔药业
002100,002100.sz,天康生物
002101,002101.sz,广东鸿图
